event,time,src,dst,packetName,srcPort,dstPort,pktLen
1543,24.0571,10.1.0.11,10.1.0.42,normal,9001,9002,100
1544,24.0919,10.1.0.13,10.1.0.42,normal,9001,9002,100
1545,24.101,10.1.0.11,10.1.0.42,attack,9003,9002,100
1546,24.1018,10.1.0.11,10.1.0.42,attack,9003,9002,100
1547,24.1022,10.1.0.21,10.1.0.42,attack,9003,9002,100
1548,24.1026,10.1.0.21,10.1.0.42,attack,9003,9002,100
1549,24.1041,10.1.0.21,10.1.0.42,attack,9003,9002,100
1550,24.1052,10.1.0.11,10.1.0.42,attack,9003,9002,100
1551,24.1055,10.1.0.21,10.1.0.42,attack,9003,9002,100
1552,24.106,10.1.0.11,10.1.0.42,attack,9003,9002,100
1553,24.1074,10.1.0.21,10.1.0.42,attack,9003,9002,100
1554,24.1077,10.1.0.11,10.1.0.42,attack,9003,9002,100
1555,24.1085,10.1.0.11,10.1.0.42,attack,9003,9002,100
1556,24.1096,10.1.0.21,10.1.0.42,attack,9003,9002,100
1557,24.1104,10.1.0.11,10.1.0.42,attack,9003,9002,100
1558,24.1106,10.1.0.21,10.1.0.42,attack,9003,9002,100
1559,24.1113,10.1.0.21,10.1.0.42,attack,9003,9002,100
1560,24.1118,10.1.0.11,10.1.0.42,attack,9003,9002,100
1561,24.1128,10.1.0.11,10.1.0.42,attack,9003,9002,100
1562,24.1135,10.1.0.11,10.1.0.42,attack,9003,9002,100
1563,24.1138,10.1.0.21,10.1.0.42,attack,9003,9002,100
1564,24.1144,10.1.0.11,10.1.0.42,attack,9003,9002,100
1565,24.1148,10.1.0.21,10.1.0.42,attack,9003,9002,100
1566,24.1157,10.1.0.11,10.1.0.42,attack,9003,9002,100
1567,24.116,10.1.0.21,10.1.0.42,attack,9003,9002,100
1568,24.1163,10.1.0.21,10.1.0.42,attack,9003,9002,100
1569,24.1165,10.1.0.21,10.1.0.42,attack,9003,9002,100
1570,24.1168,10.1.0.21,10.1.0.42,attack,9003,9002,100
1571,24.1176,10.1.0.11,10.1.0.42,attack,9003,9002,100
1572,24.118,10.1.0.21,10.1.0.42,attack,9003,9002,100
1573,24.1188,10.1.0.11,10.1.0.42,attack,9003,9002,100
1574,24.1197,10.1.0.11,10.1.0.42,attack,9003,9002,100
1575,24.12,10.1.0.21,10.1.0.42,attack,9003,9002,100
1576,24.1203,10.1.0.21,10.1.0.42,attack,9003,9002,100
1577,24.1246,10.1.0.21,10.1.0.42,attack,9003,9002,100
1578,24.1252,10.1.0.21,10.1.0.42,attack,9003,9002,100
1579,24.1255,10.1.0.21,10.1.0.42,attack,9003,9002,100
1580,24.1262,10.1.0.11,10.1.0.42,attack,9003,9002,100
1581,24.1268,10.1.0.11,10.1.0.42,attack,9003,9002,100
1582,24.1278,10.1.0.11,10.1.0.42,attack,9003,9002,100
1583,24.1285,10.1.0.11,10.1.0.42,attack,9003,9002,100
1584,24.1291,10.1.0.11,10.1.0.42,attack,9003,9002,100
1585,24.1476,10.1.0.20,10.1.0.42,normal,9001,9002,100
1586,24.2012,10.1.0.11,10.1.0.42,attack,9003,9002,100
1587,24.2029,10.1.0.21,10.1.0.42,attack,9003,9002,100
1588,24.2034,10.1.0.21,10.1.0.42,attack,9003,9002,100
1589,24.2042,10.1.0.21,10.1.0.42,attack,9003,9002,100
1590,24.2054,10.1.0.11,10.1.0.42,attack,9003,9002,100
1591,24.2065,10.1.0.11,10.1.0.42,attack,9003,9002,100
1592,24.2099,10.1.0.21,10.1.0.42,attack,9003,9002,100
1593,24.2108,10.1.0.21,10.1.0.42,attack,9003,9002,100
