event,time,src,dst,packetName,srcPort,dstPort,pktLen
3376,30.4369,10.1.0.1,10.1.0.42,attack,9003,9002,100
3377,30.438,10.1.0.14,10.1.0.42,normal,9001,9002,100
3378,30.4389,10.1.0.1,10.1.0.42,attack,9003,9002,100
3379,30.4399,10.1.0.1,10.1.0.42,attack,9003,9002,100
3380,30.442,10.1.0.1,10.1.0.42,normal,9001,9002,100
3381,30.4557,10.1.0.2,10.1.0.42,normal,9001,9002,100
3382,30.4732,10.1.0.36,10.1.0.42,normal,9001,9002,100
3383,30.5002,10.1.0.1,10.1.0.42,attack,9003,9002,100
3384,30.5005,10.1.0.1,10.1.0.42,attack,9003,9002,100
3385,30.5009,10.1.0.1,10.1.0.42,attack,9003,9002,100
3386,30.5012,10.1.0.1,10.1.0.42,attack,9003,9002,100
3387,30.5016,10.1.0.1,10.1.0.42,attack,9003,9002,100
3388,30.5023,10.1.0.1,10.1.0.42,attack,9003,9002,100
3389,30.5026,10.1.0.1,10.1.0.42,attack,9003,9002,100
3390,30.5029,10.1.0.1,10.1.0.42,attack,9003,9002,100
3391,30.5032,10.1.0.1,10.1.0.42,attack,9003,9002,100
3392,30.5035,10.1.0.1,10.1.0.42,attack,9003,9002,100
3393,30.5044,10.1.0.1,10.1.0.42,attack,9003,9002,100
3394,30.5049,10.1.0.1,10.1.0.42,attack,9003,9002,100
3395,30.5053,10.1.0.1,10.1.0.42,attack,9003,9002,100
3396,30.5067,10.1.0.15,10.1.0.42,normal,9001,9002,100
3397,30.507,10.1.0.1,10.1.0.42,attack,9003,9002,100
3398,30.5079,10.1.0.1,10.1.0.42,attack,9003,9002,100
3399,30.5099,10.1.0.1,10.1.0.42,attack,9003,9002,100
3400,30.5113,10.1.0.1,10.1.0.42,attack,9003,9002,100
3401,30.5119,10.1.0.1,10.1.0.42,attack,9003,9002,100
3402,30.5123,10.1.0.1,10.1.0.42,attack,9003,9002,100
3403,30.5175,10.1.0.1,10.1.0.42,attack,9003,9002,100
3404,30.5183,10.1.0.1,10.1.0.42,attack,9003,9002,100
3405,30.5187,10.1.0.1,10.1.0.42,attack,9003,9002,100
3406,30.519,10.1.0.1,10.1.0.42,attack,9003,9002,100
3407,30.5206,10.1.0.1,10.1.0.42,attack,9003,9002,100
3408,30.5212,10.1.0.1,10.1.0.42,attack,9003,9002,100
3409,30.5218,10.1.0.1,10.1.0.42,attack,9003,9002,100
3410,30.5221,10.1.0.1,10.1.0.42,attack,9003,9002,100
3411,30.5225,10.1.0.1,10.1.0.42,attack,9003,9002,100
3412,30.5228,10.1.0.1,10.1.0.42,attack,9003,9002,100
3413,30.5231,10.1.0.1,10.1.0.42,attack,9003,9002,100
3414,30.5237,10.1.0.31,10.1.0.42,attack,9003,9002,100
3415,30.5245,10.1.0.31,10.1.0.42,attack,9003,9002,100
3416,30.5248,10.1.0.1,10.1.0.42,attack,9003,9002,100
3417,30.5251,10.1.0.1,10.1.0.42,attack,9003,9002,100
3418,30.5259,10.1.0.1,10.1.0.42,attack,9003,9002,100
3419,30.5263,10.1.0.1,10.1.0.42,attack,9003,9002,100
3420,30.527,10.1.0.1,10.1.0.42,attack,9003,9002,100
3421,30.5273,10.1.0.1,10.1.0.42,attack,9003,9002,100
3422,30.5279,10.1.0.1,10.1.0.42,attack,9003,9002,100
3423,30.5282,10.1.0.1,10.1.0.42,attack,9003,9002,100
3424,30.5285,10.1.0.1,10.1.0.42,attack,9003,9002,100
3425,30.5291,10.1.0.31,10.1.0.42,attack,9003,9002,100
3426,30.5297,10.1.0.1,10.1.0.42,attack,9003,9002,100
3427,30.5308,10.1.0.31,10.1.0.42,attack,9003,9002,100
3428,30.5314,10.1.0.31,10.1.0.42,attack,9003,9002,100
3429,30.5332,10.1.0.31,10.1.0.42,attack,9003,9002,100
3430,30.5346,10.1.0.31,10.1.0.42,attack,9003,9002,100
3431,30.5354,10.1.0.31,10.1.0.42,attack,9003,9002,100
3432,30.5362,10.1.0.31,10.1.0.42,attack,9003,9002,100
3433,30.5369,10.1.0.31,10.1.0.42,attack,9003,9002,100
3434,30.5377,10.1.0.31,10.1.0.42,attack,9003,9002,100
3435,30.5385,10.1.0.31,10.1.0.42,attack,9003,9002,100
3436,30.5401,10.1.0.31,10.1.0.42,attack,9003,9002,100
3437,30.5409,10.1.0.31,10.1.0.42,attack,9003,9002,100
3438,30.5416,10.1.0.31,10.1.0.42,attack,9003,9002,100
3439,30.5428,10.1.0.31,10.1.0.42,attack,9003,9002,100
3440,30.5437,10.1.0.31,10.1.0.42,attack,9003,9002,100
3441,30.5452,10.1.0.31,10.1.0.42,attack,9003,9002,100
3442,30.5462,10.1.0.31,10.1.0.42,attack,9003,9002,100
3443,30.5493,10.1.0.31,10.1.0.42,attack,9003,9002,100
3444,30.558,10.1.0.31,10.1.0.42,attack,9003,9002,100
3445,30.5591,10.1.0.31,10.1.0.42,attack,9003,9002,100
3446,30.5607,10.1.0.31,10.1.0.42,attack,9003,9002,100
3447,30.562,10.1.0.31,10.1.0.42,attack,9003,9002,100
3448,30.5821,10.1.0.7,10.1.0.42,normal,9001,9002,100
3449,30.5914,10.1.0.33,10.1.0.42,normal,9001,9002,100
3450,30.601,10.1.0.1,10.1.0.42,attack,9003,9002,100
3451,30.6026,10.1.0.1,10.1.0.42,attack,9003,9002,100
3452,30.603,10.1.0.1,10.1.0.42,attack,9003,9002,100
3453,30.6039,10.1.0.1,10.1.0.42,attack,9003,9002,100
3454,30.6046,10.1.0.1,10.1.0.42,attack,9003,9002,100
3455,30.6054,10.1.0.1,10.1.0.42,attack,9003,9002,100
3456,30.6061,10.1.0.1,10.1.0.42,attack,9003,9002,100
3457,30.6067,10.1.0.1,10.1.0.42,attack,9003,9002,100
3458,30.6079,10.1.0.1,10.1.0.42,attack,9003,9002,100
3459,30.6088,10.1.0.1,10.1.0.42,attack,9003,9002,100
3460,30.6095,10.1.0.1,10.1.0.42,attack,9003,9002,100
3461,30.6104,10.1.0.1,10.1.0.42,attack,9003,9002,100
3462,30.6111,10.1.0.1,10.1.0.42,attack,9003,9002,100
3463,30.6119,10.1.0.1,10.1.0.42,attack,9003,9002,100
3464,30.6132,10.1.0.1,10.1.0.42,attack,9003,9002,100
3465,30.6138,10.1.0.1,10.1.0.42,attack,9003,9002,100
3466,30.6146,10.1.0.1,10.1.0.42,attack,9003,9002,100
3467,30.616,10.1.0.1,10.1.0.42,attack,9003,9002,100
3468,30.6166,10.1.0.1,10.1.0.42,attack,9003,9002,100
3469,30.6178,10.1.0.1,10.1.0.42,attack,9003,9002,100
3470,30.6213,10.1.0.1,10.1.0.42,attack,9003,9002,100
